Instances,VND_1,VND_2,BVNS_1,BVNS_2,GVNS_1,GVNS_2,GVNS_2_1
(mean_values) P1,247,247,253.2,251.96,268.38,272.7,272.7
(value_median) P1,247,247,247,247,255,284,284
(value_sd) P1,0,0,18.6,16.8202,23.5422,20.9019,20.9019
(best_value) P1,247,247,309,309,309,309,309
(mean_times) P1,1.322,23.486,3.106,10.866,8.51,13.734,1.888
(value_median) P1,1.2,23.2,2.8,5.85,7.15,12.9,1.7
(time_sd) P1,0.614911,1.11804,0.833405,8.34598,3.44402,5.56186,0.438926
(best_time) P1,1.2,23,1.9,2.7,5.1,7.3,1.6
(mean_values) P2,47,47,47,47,49.32,48.36,48.36
(value_median) P2,47,47,47,47,51,47,47
(value_sd) P2,0,0,0,0,1.97423,1.89484,1.89484
(best_value) P2,47,47,47,47,51,51,51
(mean_times) P2,0.89,1.488,1.596,2.248,4.682,5.636,1.256
(value_median) P2,0.9,1.5,1.55,2.3,4.55,5.3,1.2
(time_sd) P2,0.0830662,0.136587,0.193866,0.219308,0.966166,0.806414,0.0778717
(best_time) P2,0.8,1.4,1.3,1.9,3.3,4.7,1.2
(mean_values) P3,119,150,119,124.34,119,122.72,122.72
(value_median) P3,119,150,119,119,119,119,119
(value_sd) P3,0,0,0,11.4256,0,10.0738,10.0738
(best_value) P3,119,150,119,150,119,150,150
(mean_times) P3,0.926,3.942,1.832,3.632,4.128,6.19,1.33
(value_median) P3,0.9,3.8,1.8,3.25,3.9,5.95,1.3
(time_sd) P3,0.101607,0.409434,0.264151,1.23003,0.452124,1.27189,0.0830662
(best_time) P3,0.9,3.7,1.4,2.1,3.5,4.7,1.2
(mean_values) P4,107,107,107,107,107,107,107
(value_median) P4,107,107,107,107,107,107,107
(value_sd) P4,0,0,0,0,0,0,0
(best_value) P4,107,107,107,107,107,107,107
(mean_times) P4,1.002,4.016,1.926,3.376,6.142,7.706,1.364
(value_median) P4,1,3.9,1.9,3.1,6.3,7.7,1.4
(time_sd) P4,0.207355,0.433294,0.305162,0.875571,0.423835,0.225752,0.0591946
(best_time) P4,0.9,3.8,1.5,2.4,5.1,7.2,1.3
(mean_values) P5,888,900,888,888.24,888,889.2,889.2
(value_median) P5,888,900,888,888,888,888,888
(value_sd) P5,0,0,0,1.68,0,3.6,3.6
(best_value) P5,888,900,888,900,888,900,900
(mean_times) P5,1.09,13.2,2.246,4.068,5.822,8.134,1.482
(value_median) P5,1.1,12.9,2,3.25,5.7,7.9,1.5
(time_sd) P5,0.0830662,1.35691,0.592692,3.1084,0.674178,1.30516,0.0477074
(best_time) P5,1,12.8,1.5,2,4.2,5.6,1.4
(mean_values) P6,1735,1735,1735,1735,1735,1735,1735
(value_median) P6,1735,1735,1735,1735,1735,1735,1735
(value_sd) P6,0,0,0,0,0,0,0
(best_value) P6,1735,1735,1735,1735,1735,1735,1735
(mean_times) P6,0.986,4.412,1.832,3.82,4.33,5.924,1.346
(value_median) P6,1,4.4,1.7,4.15,4.1,5.7,1.3
(time_sd) P6,0.0600333,0.21876,0.420685,1.00319,0.483425,0.608132,0.0537029
(best_time) P6,0.9,4.2,1.4,2,3.8,5.3,1.3
(mean_values) P7,1315,1315,1315,1315,1442.18,1441.26,1441.26
(value_median) P7,1315,1315,1315,1315,1443,1445,1445
(value_sd) P7,0,0,0,0,5.69101,18.4736,18.4736
(best_value) P7,1315,1315,1315,1315,1449,1449,1449
(mean_times) P7,1.866,215.648,5.548,42.9,16.37,23.088,2.49
(value_median) P7,1.9,209.6,5.95,13.95,12.45,22.05,2.5
(time_sd) P7,0.0815107,38.4149,2.4383,63.7691,5.86489,7.13867,0.166433
(best_time) P7,1.8,209.1,2.1,4.8,11.6,15.4,2.4
(mean_values) P8,1.31411e+07,1.33478e+07,1.31494e+07,1.31773e+07,1.32053e+07,1.32039e+07,1.32039e+07
(value_median) P8,1.31411e+07,1.33478e+07,1.31411e+07,1.31411e+07,1.31667e+07,1.31411e+07,1.31411e+07
(value_sd) P8,0,0,29813.9,74519.9,75182.2,84626.9,84626.9
(best_value) P8,1.31411e+07,1.33478e+07,1.33315e+07,1.33522e+07,1.33643e+07,1.33717e+07,1.33717e+07
(mean_times) P8,3.558,4844.1,6.164,66.616,37.994,45.602,4.424
(value_median) P8,3.5,4772.15,4.95,12.1,33,39.55,4.3
(time_sd) P8,0.30469,374.224,4.79378,311.067,12.2621,12.5438,0.634527
(best_time) P8,3.2,4453.6,3.1,5.6,20.9,32,3.9
(mean_values) P9,9850,9850,9850,9850,9908.52,9929.42,9929.76
(value_median) P9,9850,9850,9850,9850,9850,9850,9850
(value_sd) P9,0,0,0,0,93.8408,101.446,101.883
(best_value) P9,9850,9850,9850,9850,10059,10059,10059.9
(mean_times) P9,1.176,22.476,1.886,6.584,11.062,14.09,4.962
(value_median) P9,1.2,22.1,1.8,3.65,10.5,13.7,1.6
(time_sd) P9,0.068,1.77759,0.286363,5.96732,2.26441,2.51891,4.32929
(best_time) P9,1.1,22,1.6,2.3,7.6,9.6,1.5
(mean_values) P10,9177.9,9177.9,9177.9,9177.9,9177.9,9177.9,9177.9
(value_median) P10,9177.9,9177.9,9177.9,9177.9,9177.9,9177.9,9177.9
(value_sd) P10,7.27596e-12,7.27596e-12,7.27596e-12,7.27596e-12,7.27596e-12,7.27596e-12,7.27596e-12
(best_value) P10,9177.9,9177.9,9177.9,9177.9,9177.9,9177.9,9177.9
(mean_times) P10,1.224,23.754,2.02,4.064,7.66,9.6,1.656
(value_median) P10,1.2,23.7,1.9,3.45,7.5,9.85,1.6
(time_sd) P10,0.0549909,0.298134,0.367151,2.29074,0.525738,0.563915,0.183478
(best_time) P10,1.2,23.6,1.6,2.3,6.7,8.2,1.6
(mean_values) P11,10563,10563,10563,10563,10563,10563,10563
(value_median) P11,10563,10563,10563,10563,10563,10563,10563
