Instances,VND_1,VND_2,BVNS_1,BVNS_2,GVNS_1,GVNS_2,GVNS_2_1
P1,247,247,253.2,251.96,268.38,272.7,272.7
P2,47,47,47,47,49.32,48.36,48.36
P3,119,150,119,124.34,119,122.72,122.72
P4,107,107,107,107,107,107,107
P5,888,900,888,888.24,888,889.2,889.2
P6,1735,1735,1735,1735,1735,1735,1735
P7,1315,1315,1315,1315,1442.18,1441.26,1441.26
P8,1.31411e+07,1.33478e+07,1.31494e+07,1.31773e+07,1.32053e+07,1.32039e+07,1.32039e+07
P9,9850,9850,9850,9850,9908.52,9929.42,9929.76
P10,9177.9,9177.9,9177.9,9177.9,9177.9,9177.9,9177.9
P11,10563,10563,10563,10563,10563,10563,10563
P12,10271.1,10377,10277.1,10279.2,10296.5,10288,10288.2
P13,10451.2,10451.2,10451.2,10451.2,10451.2,10451.2,10451.2
P14,10252.5,10252.5,10252.5,10252.5,10269.5,10265.3,10265.3
P15,12390.7,12390.7,12390.7,12390.7,12390.7,12390.7,12390.7
P16,10177,10177,10177,10177,10177,10177,10177
P17,10179.1,10179.1,10179.1,10179.1,10179.1,10179.1,10179.1
P18,9850,9850,9850,9850,9850,9850,9850
P19,8704,10431,8774.26,8804,10166.4,10104.9,10104.9
P20,9958,10312,9958,9963.64,10114.2,10278,10278
P21,12773,12939,12773.9,12774.9,12804.7,12816.4,12816.4
P22,10948,12249,10950.2,10970.2,11765.2,11881.3,11881.3
P23,9469,10563,9469.32,9475.62,10539.8,10348.5,10348.5
P24,13863,15918,13906.6,13931.2,15448.9,15218.9,15218.9
P25,15583,17222,15583,15585.4,15943.6,15905.9,15905.9
